instinct   n.本能，直觉，天性
impress   v.印，铭刻，产生印象
imaginary   adj.想象的，虚构的
illusive   adj.幻觉的
interior   n.内部，内地，内政
insect   n.昆虫
inner   adj.里面的，内心的
informal   adj.非正式的
illness   n.疾病，生病
item   n.条款，项目
it   pron.它
island   n.岛屿
involvement   n.卷入，涉足
invitation   n.邀请(信)
intensive   adj.强化的，密集的
innovation   n.革新，创新
influence   n.影响，势力(范围)
income   n.收入，所得
impractical   v.不可行的
imminent   adj.迫切的，危急的
into   prep.到...里面，..成
interaction   n.相互作用
instinctive   adj.本能的，天性的
ink   n.墨水，油墨
informative   adj.提供资料的
inferiority   n.劣势
indignation   n.愤慨，气愤
incoterms   n.(缩)国际贸易术语
incorporated   adj.有限的
inclusion   n.包括在内
inaugural   adj.开幕的
immediately   adv.立即，马上
interval   n.间隔，中间休息
instrument   n.仪器，乐器，手段
industrialization   n.工业化
industrial   adj.工业的
imprisonment   n.监禁，徒刑
imposition   n.强迫接受
impose   v.征(税)，强加
islam   n.伊斯兰教，回教
interesting   adj.有趣的
intellect   n.理智，才智
induce   v.诱使，引起，归纳
indoors   adv.在户内，在屋里
indirect   adj.间接的，侧面的
indifference   n.冷淡，不关心
inauguration   n.开幕、就职典礼
improvement   n.改善，好转
idealism   n.理想主义
ice-cream   n.冰淇淋
ilrish   n.,adj.爱尔兰人(的)
invasion   n.侵略，侵袭
invade   v.入侵，侵犯
interrupt   v.打断，中断
inn   n.客栈
ineffectiveness   n.低效率
impression   n.印象，影响，印迹
imply   v.暗示，意味
ice   n.冰，冰块
inland   n.内地的，内陆的
injustice   n.不公正
inertia   n.惯性，惰性，不活动
incline   v.低头，喜欢，倾斜
invaluable   adj.非常宝贵的
inspector   n.检查员，视察者
infinitely   adv.无限地，无穷地
infection   n.感染
individual   adj.个人的，各自的
indicate   v.指明，表示
incentive   n.刺激的，鼓励的
immortal   adj.不朽的
immigrate   v.移入
imitate   v.模仿，仿造，模拟
illusion   n.幻想，幻觉
idiomatic   adj.习语的，惯用的
integral   adj.组成的，整体的
inexpensive   adj.便宜的
important   adj.重要的，重大的
imagine   v.想象，猜想
itself   pron.它自己
involve   v.使卷入，忙于
inventor   n.发明者
intensity   n.强烈，强度
infantry   n.步兵
incredible   adj.不可信的，惊人的
inability   n.无能
impossibility   n.不可能性
invention   n.发明，创造
insist   v.坚持，坚决要求
influenza   n.流行性感冒
importation   n.进口
identity   n.认同，同一性
isolate   v.隔离，孤立
irony   n.反讽，讽刺
intercourse   n.交流，往来
ideal   adj.理想的
intellectual   n.知识分子
installation   n.安装，装置
infer   v.推断，推论
indulge   v.放纵，放任，纵容
independence   n.独立，自主
inconvenience   n.不便，不利
imagination   n.想象力，想象
irritation   n.刺激，恼怒
irregular   adj.不规则的
ireland   n.爱尔兰
introduce   v.介绍，引进，采用
intermediate   adj.中间的
intelligence   n.智慧，情报
integrate   v.整合，结合
inquiry   n.询问，查询，调查
infrequent   adj.不经常的
industrious   adj.勤劳的，勤奋的
incorrect   adj.不正确的
impressive   adj.给人深刻印象的
idea   n.思想，主意，打算
irritate   v.使生气，刺激
insulation   n.隔离，绝缘
initial   adj.最初的
inclination   n.倾斜，倾向
investment   n.投资(额)
internal   adj.内部的，国内的
interested   adj.感兴趣的
inherent   adj.生来俱有的
inform   v.通知，告诉，告密
industrialize   v.使工业化
incompatible   adj.不相容的
inadequate   adj.不充足的，不足以
image   n.图像，影像，形象
introductory   adj.介绍的，入门的
intervene   v.介入，调解
innocent   adj.无罪的
inefficiency   n.无效力
indefinitely   adv.不明确地
itemize   v.分列
insistent   adj.紧迫的，坚持的
inevitably   adv.必然地
indispensable   adj.必不可少的
interference   n.干涉，干扰
intent   n.意图
insane   adj.疯狂的
infringement   n.侵权
infinity   n.
ineffective   adj.效率低的
inch   n.英寸
implore   v.恳求，哀求
imitation   n.模仿，仿制品
illuminate   v.照亮，启发
illiteracy   n.文盲
i.e.   (缩)即，也就是
installment   n.分期付款
inject   v.注射
indemnify   v.赔偿，保护
indefinite   adj.不明确的，不确定
indeed   adv.的确，实际上
inconsistency   n.不一致
inaccurate   adj.不准确的，不确切
import   v.进口,引进
inundate   adj.使充满
intimation   n.亲密，熟悉
input   n.输入，投入
inorganic   adj.无机的
inflammable   adj.不易燃的
incident   n.事件，事变，插曲
inasmuch   adv.因为，由于
identification   n.识别，身分
invite   v.邀请，招致，征求
integrity   n.完整性，诚实
immediate   adj.立即的，最近的
inverse   adj.相反的，倒转的
instead   adv.代替，而是
innovate   v.革新，变革，创始
initiative   n.积极性，首创精神
inflation   n.充气，通货膨胀
irresistible   adj.不可抗拒的
ironical   adj.反讽的，讽刺的
intentional   adj.有意的，故意的
insertion   n.插入
injury   n.伤害，损害
infinitive   adj.不定式的
impossible   adj.不可能的，不妥的
impart   v.给予，告诉
identical   adj.同一的，相同的
interpreter   n.译员
insure   v.保险，确保
independent   adj.独立的
indent   v.(书写)缩行
importer   n.进口商
imperative   adj.绝对必要的
irrespective   adj.不论，不考虑
interface   n.交界，接口
ingenious   adj.灵巧的，精巧的adj.独创的，机智的
indebted   adj.感激的，感恩的
incur   v.招致，承受
incredulous   adj.表示怀疑的
inconsistent   adj.不一致的
illiterate   adj.文盲的
icy   adj.冰冷的，结了冰的
italian   n.,adj.意大利人(的)
irrigation   n.灌溉
instruct   v.指导，指示，告知
insolvent   adj.无偿付能力的
insight   n.洞察力
ingenuity   n.灵巧，机灵，巧妙
indicative   adj.表示...的
immigration   n.移居入境
illustration   n.阐明，实例
ignorance   n.无知，不知道
italy   n.意大利
install   v.安装，安置
industrialized   adj.工业化的
implement   v.实行
inwards   adv.向内的
integration   n.结合，整体
institution   n.机构，制度
innumerable   adj.无数的
innocence   n.清白，天真
include   v.包括
improper   adj.不适当的
importance   n.重要性，意义
imperialism   n.帝国主义
incense   v.使发怒
illegible   adj.字迹不清的
